id,enter,total_agents,exit_south,exit_east,exit_north,exit_west
485,1,408,-1,-1,-1,1
477,1,400,-1,-1,1,-1
581,1,504,-1,-1,1,-1
211,1,134,-1,-1,1,-1
732,1,655,-1,-1,1,-1
375,1,298,-1,-1,1,-1
436,1,359,-1,-1,2,-1
607,1,530,-1,-1,2,-1
172,1,95,-1,-1,-1,2
190,1,113,-1,-1,3,-1
616,1,539,-1,-1,3,-1
697,1,620,-1,-1,3,-1
533,1,456,-1,-1,3,-1
658,1,581,-1,-1,-1,3
216,1,139,-1,-1,-1,3
685,1,608,-1,-1,3,-1
516,1,439,-1,-1,-1,4
584,1,507,-1,-1,4,-1
132,1,55,-1,-1,-1,4
426,1,349,-1,-1,-1,4
524,1,447,-1,-1,4,-1
522,1,445,-1,-1,4,-1
146,1,69,-1,-1,5,-1
261,1,184,-1,-1,5,-1
575,1,498,-1,-1,5,-1
580,1,503,-1,-1,-1,5
837,1,757,-1,-1,-1,5
602,1,525,-1,-1,-1,6
289,1,212,-1,-1,6,-1
596,1,519,-1,-1,6,-1
841,2,757,-1,-1,6,-1
475,1,398,-1,-1,6,-1
239,1,162,-1,-1,6,-1
462,1,385,-1,-1,6,-1
553,1,476,-1,-1,6,-1
440,1,363,-1,-1,7,-1
156,1,79,-1,-1,7,-1
265,1,188,-1,-1,-1,7
158,1,81,-1,-1,-1,7
660,1,583,-1,-1,-1,7
636,1,559,-1,-1,8,-1
98,1,21,-1,-1,8,-1
780,1,703,-1,-1,8,-1
675,1,598,-1,-1,8,-1
600,1,523,-1,-1,9,-1
794,1,717,-1,-1,-1,9
853,4,757,-1,-1,-1,10
358,1,281,-1,-1,-1,10
571,1,494,-1,-1,10,-1
789,1,712,-1,-1,-1,10
357,1,280,-1,-1,11,-1
556,1,479,-1,-1,-1,11
204,1,127,-1,-1,11,-1
682,1,605,-1,-1,11,-1
476,1,399,-1,-1,12,-1
408,1,331,-1,-1,12,-1
868,6,757,-1,-1,12,-1
603,1,526,-1,-1,13,-1
125,1,48,-1,-1,-1,13
398,1,321,-1,-1,13,-1
671,1,594,-1,-1,-1,13
710,1,633,-1,-1,-1,13
478,1,401,-1,-1,13,-1
81,1,4,-1,-1,-1,14
567,1,490,-1,-1,-1,14
415,1,338,-1,-1,-1,14
674,1,597,-1,-1,14,-1
301,1,224,-1,-1,14,-1
115,1,38,-1,-1,14,-1
162,1,85,-1,-1,14,-1
113,1,36,-1,-1,14,-1
751,1,674,-1,-1,15,-1
141,1,64,-1,-1,15,-1
362,1,285,-1,-1,15,-1
420,1,343,-1,-1,-1,15
540,1,463,-1,-1,-1,15
411,1,334,-1,-1,15,-1
613,1,536,-1,-1,15,-1
861,6,757,-1,-1,16,-1
901,14,757,-1,-1,16,-1
123,1,46,-1,-1,16,-1
792,1,715,-1,-1,16,-1
788,1,711,-1,-1,-1,16
897,14,757,-1,-1,16,-1
848,3,757,-1,-1,16,-1
538,1,461,-1,-1,-1,16
105,1,28,-1,-1,-1,16
829,1,752,-1,-1,16,-1
687,1,610,-1,-1,-1,16
363,1,286,-1,-1,-1,16
606,1,529,-1,-1,-1,16
80,1,3,-1,-1,-1,17
431,1,354,-1,-1,-1,17
164,1,87,-1,-1,-1,17
342,1,265,-1,-1,-1,17
579,1,502,-1,-1,17,-1
747,1,670,-1,-1,17,-1
400,1,323,-1,-1,17,-1
328,1,251,-1,-1,17,-1
923,16,757,-1,-1,17,-1
195,1,118,-1,-1,17,-1
676,1,599,-1,-1,-1,18
233,1,156,-1,-1,18,-1
503,1,426,-1,-1,18,-1
487,1,410,-1,-1,19,-1
122,1,45,-1,-1,-1,19
292,1,215,-1,-1,-1,19
444,1,367,-1,-1,-1,19
611,1,534,-1,-1,19,-1
683,1,606,-1,-1,19,-1
165,1,88,-1,-1,19,-1
912,16,757,-1,-1,-1,19
423,1,346,-1,-1,-1,19
458,1,381,-1,-1,-1,19
519,1,442,-1,-1,19,-1
269,1,192,-1,-1,19,-1
560,1,483,-1,-1,19,-1
666,1,589,-1,-1,20,-1
422,1,345,-1,-1,20,-1
259,1,182,-1,-1,20,-1
508,1,431,-1,-1,20,-1
491,1,414,-1,-1,20,-1
185,1,108,-1,-1,20,-1
504,1,427,-1,-1,-1,20
604,1,527,-1,-1,-1,20
429,1,352,-1,-1,-1,20
186,1,109,-1,-1,-1,20
590,1,513,-1,-1,-1,20
496,1,419,-1,-1,-1,20
922,16,757,-1,-1,-1,20
366,1,289,-1,-1,-1,21
293,1,216,-1,-1,-1,21
374,1,297,-1,-1,-1,21
94,1,17,-1,-1,-1,21
894,13,757,-1,-1,-1,21
559,1,482,-1,-1,21,-1
787,1,710,-1,-1,21,-1
528,1,451,-1,-1,21,-1
345,1,268,-1,-1,21,-1
182,1,105,-1,-1,21,-1
647,1,570,-1,-1,21,-1
126,1,49,-1,-1,-1,21
193,1,116,-1,-1,-1,21
201,1,124,-1,-1,22,-1
447,1,370,-1,-1,22,-1
695,1,618,-1,-1,22,-1
83,1,6,-1,-1,22,-1
263,1,186,-1,-1,22,-1
820,1,743,-1,-1,22,-1
756,1,679,-1,-1,-1,22
155,1,78,-1,-1,-1,22
898,14,757,-1,-1,-1,22
586,1,509,-1,-1,22,-1
828,1,751,-1,-1,-1,23
341,1,264,-1,-1,-1,23
430,1,353,-1,-1,23,-1
337,1,260,-1,-1,23,-1
827,1,750,-1,-1,-1,23
505,1,428,-1,-1,-1,23
973,21,757,-1,-1,-1,23
510,1,433,-1,-1,-1,23
242,1,165,-1,-1,23,-1
266,1,189,-1,-1,23,-1
388,1,311,-1,-1,23,-1
336,1,259,-1,-1,23,-1
177,1,100,-1,-1,23,-1
975,21,757,-1,-1,24,-1
770,1,693,-1,-1,24,-1
417,1,340,-1,-1,24,-1
694,1,617,-1,-1,-1,24
152,1,75,-1,-1,-1,24
555,1,478,-1,-1,24,-1
705,1,628,-1,-1,24,-1
628,1,551,-1,-1,24,-1
412,1,335,-1,-1,24,-1
399,1,322,-1,-1,24,-1
153,1,76,-1,-1,24,-1
745,1,668,-1,-1,-1,24
368,1,291,-1,-1,-1,24
838,1,757,-1,-1,-1,24
512,1,435,-1,-1,-1,24
168,1,91,-1,-1,25,-1
914,16,757,-1,-1,25,-1
296,1,219,-1,-1,25,-1
350,1,273,-1,-1,25,-1
472,1,395,-1,-1,25,-1
194,1,117,-1,-1,25,-1
625,1,548,-1,-1,25,-1
139,1,62,-1,-1,25,-1
332,1,255,-1,-1,-1,25
145,1,68,-1,-1,25,-1
855,4,757,-1,-1,25,-1
720,1,643,-1,-1,25,-1
370,1,293,-1,-1,26,-1
564,1,487,-1,-1,26,-1
681,1,604,-1,-1,-1,26
859,5,757,-1,-1,26,-1
178,1,101,-1,-1,26,-1
798,1,721,-1,-1,-1,26
544,1,467,-1,-1,-1,26
373,1,296,-1,-1,26,-1
279,1,202,-1,-1,26,-1
570,1,493,-1,-1,26,-1
527,1,450,-1,-1,26,-1
225,1,148,-1,-1,26,-1
163,1,86,-1,-1,26,-1
498,1,421,-1,-1,26,-1
573,1,496,-1,-1,27,-1
131,1,54,-1,-1,-1,27
974,21,757,-1,-1,-1,27
325,1,248,-1,-1,-1,27
588,1,511,-1,-1,-1,27
992,23,757,-1,-1,27,-1
469,1,392,-1,-1,27,-1
215,1,138,-1,-1,27,-1
900,14,757,-1,-1,-1,27
733,1,656,-1,-1,27,-1
791,1,714,-1,-1,27,-1
692,1,615,-1,-1,27,-1
307,1,230,-1,-1,28,-1
228,1,151,-1,-1,28,-1
734,1,657,-1,-1,-1,28
945,19,757,-1,-1,-1,28
180,1,103,-1,-1,-1,28
739,1,662,-1,-1,28,-1
499,1,422,-1,-1,28,-1
679,1,602,-1,-1,28,-1
310,1,233,-1,-1,28,-1
684,1,607,-1,-1,-1,28
858,5,757,-1,-1,-1,28
769,1,692,-1,-1,-1,28
1035,26,757,-1,-1,-1,28
648,1,571,-1,-1,-1,29
144,1,67,-1,-1,-1,29
506,1,429,-1,-1,-1,29
450,1,373,-1,-1,29,-1
665,1,588,-1,-1,29,-1
726,1,649,-1,-1,29,-1
299,1,222,-1,-1,29,-1
247,1,170,-1,-1,29,-1
802,1,725,-1,-1,29,-1
890,12,757,-1,-1,29,-1
200,1,123,-1,-1,29,-1
268,1,191,-1,-1,-1,30
981,22,757,-1,-1,-1,30
1008,24,757,-1,-1,-1,30
218,1,141,-1,-1,30,-1
736,1,659,-1,-1,30,-1
451,1,374,-1,-1,-1,30
329,1,252,-1,-1,-1,30
86,1,9,-1,-1,-1,30
514,1,437,-1,-1,30,-1
860,5,757,-1,-1,30,-1
314,1,237,-1,-1,30,-1
800,1,723,-1,-1,30,-1
117,1,40,-1,-1,30,-1
831,1,754,-1,-1,30,-1
241,1,164,-1,-1,30,-1
696,1,619,-1,-1,31,-1
714,1,637,-1,-1,31,-1
356,1,279,-1,-1,31,-1
497,1,420,-1,-1,31,-1
320,1,243,-1,-1,31,-1
409,1,332,-1,-1,31,-1
713,1,636,-1,-1,31,-1
192,1,115,-1,-1,31,-1
196,1,119,-1,-1,31,-1
361,1,284,-1,-1,31,-1
386,1,309,-1,-1,31,-1
597,1,520,-1,-1,-1,31
167,1,90,-1,-1,-1,31
948,19,757,-1,-1,31,-1
738,1,661,-1,-1,32,-1
294,1,217,-1,-1,32,-1
731,1,654,-1,-1,32,-1
198,1,121,-1,-1,32,-1
1077,30,757,-1,-1,32,-1
90,1,13,-1,-1,32,-1
686,1,609,-1,-1,32,-1
283,1,206,-1,-1,32,-1
235,1,158,-1,-1,32,-1
717,1,640,-1,-1,32,-1
541,1,464,-1,-1,32,-1
108,1,31,-1,-1,33,-1
750,1,673,-1,-1,33,-1
781,1,704,-1,-1,33,-1
209,1,132,-1,-1,33,-1
569,1,492,-1,-1,33,-1
818,1,741,-1,-1,33,-1
428,1,351,-1,-1,-1,33
929,17,757,-1,-1,-1,33
672,1,595,-1,-1,34,-1
632,1,555,-1,-1,34,-1
836,1,757,-1,-1,34,-1
919,16,757,-1,-1,34,-1
379,1,302,-1,-1,34,-1
548,1,471,-1,-1,34,-1
641,1,564,-1,-1,34,-1
605,1,528,-1,-1,34,-1
354,1,277,-1,-1,34,-1
928,17,757,-1,-1,34,-1
157,1,80,-1,-1,35,-1
529,1,452,-1,-1,35,-1
904,14,757,-1,-1,35,-1
551,1,474,-1,-1,35,-1
101,1,24,-1,-1,-1,35
1099,31,757,-1,-1,-1,35
574,1,497,-1,-1,-1,35
638,1,561,-1,-1,-1,35
312,1,235,-1,-1,-1,35
977,22,757,-1,-1,35,-1
967,21,757,-1,-1,35,-1
1067,29,757,-1,-1,35,-1
82,1,5,-1,-1,35,-1
454,1,377,-1,-1,36,-1
107,1,30,-1,-1,-1,36
994,23,757,-1,-1,-1,36
826,1,749,-1,-1,36,-1
976,21,757,-1,-1,36,-1
359,1,282,-1,-1,36,-1
114,1,37,-1,-1,-1,36
566,1,489,-1,-1,-1,37
755,1,678,-1,-1,37,-1
624,1,547,-1,-1,37,-1
872,7,757,-1,-1,37,-1
377,1,300,-1,-1,37,-1
280,1,203,-1,-1,37,-1
534,1,457,-1,-1,37,-1
902,14,757,-1,-1,-1,37
335,1,258,-1,-1,37,-1
885,11,757,-1,-1,37,-1
591,1,514,-1,-1,37,-1
276,1,199,-1,-1,37,-1
248,1,171,-1,-1,37,-1
333,1,256,-1,-1,-1,38
401,1,324,-1,-1,-1,38
737,1,660,-1,-1,38,-1
304,1,227,-1,-1,-1,38
515,1,438,-1,-1,-1,38
759,1,682,-1,-1,38,-1
970,21,757,-1,-1,38,-1
669,1,592,-1,-1,38,-1
382,1,305,-1,-1,38,-1
1131,34,757,-1,-1,38,-1
629,1,552,-1,-1,38,-1
543,1,466,-1,-1,39,-1
1072,29,757,-1,-1,39,-1
255,1,178,-1,-1,39,-1
782,1,705,-1,-1,-1,39
630,1,553,-1,-1,-1,39
824,1,747,-1,-1,39,-1
170,1,93,-1,-1,39,-1
906,15,757,-1,-1,39,-1
819,1,742,-1,-1,39,-1
286,1,209,-1,-1,39,-1
1185,39,757,-1,-1,-1,39
655,1,578,-1,-1,-1,39
921,16,757,-1,-1,-1,39
331,1,254,-1,-1,-1,39
473,1,396,-1,-1,-1,40
353,1,276,-1,-1,-1,40
583,1,506,-1,-1,-1,40
340,1,263,-1,-1,-1,40
1091,30,757,-1,-1,-1,40
295,1,218,-1,-1,40,-1
