id,enter,total_agents,exit_south,exit_east,exit_north,exit_west
158,1,81,-1,-1,-1,1
675,1,598,-1,-1,1,-1
329,1,252,-1,-1,-1,1
265,1,188,-1,-1,-1,1
332,1,255,-1,-1,-1,1
1468,1,1391,-1,-1,-1,1
858,1,781,-1,-1,1,-1
732,1,655,-1,-1,1,-1
1461,1,1384,-1,-1,1,-1
358,1,281,-1,-1,-1,2
937,1,860,-1,-1,2,-1
477,1,400,-1,-1,2,-1
383,1,306,-1,-1,2,-1
508,1,431,-1,-1,2,-1
485,1,408,-1,-1,-1,2
1519,1,1442,-1,-1,2,-1
613,1,536,-1,-1,2,-1
1092,1,1015,-1,-1,2,-1
1228,1,1151,-1,-1,2,-1
884,1,807,-1,-1,2,-1
533,1,456,-1,-1,2,-1
436,1,359,-1,-1,2,-1
1298,1,1221,-1,-1,2,-1
1554,1,1477,-1,-1,2,-1
1030,1,953,-1,-1,3,-1
1337,1,1260,-1,-1,3,-1
411,1,334,-1,-1,3,-1
1233,1,1156,-1,-1,3,-1
1218,1,1141,-1,-1,3,-1
1540,1,1463,-1,-1,3,-1
1367,1,1290,-1,-1,3,-1
936,1,859,-1,-1,-1,3
660,1,583,-1,-1,-1,3
1192,1,1115,-1,-1,-1,3
538,1,461,-1,-1,-1,3
141,1,64,-1,-1,4,-1
1244,1,1167,-1,-1,4,-1
829,1,752,-1,-1,4,-1
1326,1,1249,-1,-1,4,-1
426,1,349,-1,-1,-1,4
195,1,118,-1,-1,4,-1
1351,1,1274,-1,-1,4,-1
1243,1,1166,-1,-1,-1,4
1224,1,1147,-1,-1,4,-1
1487,1,1410,-1,-1,4,-1
1061,1,984,-1,-1,-1,4
604,1,527,-1,-1,-1,4
440,1,363,-1,-1,5,-1
204,1,127,-1,-1,5,-1
1479,1,1402,-1,-1,5,-1
1163,1,1086,-1,-1,5,-1
1138,1,1061,-1,-1,5,-1
1140,1,1063,-1,-1,5,-1
1025,1,948,-1,-1,5,-1
600,1,523,-1,-1,5,-1
845,1,768,-1,-1,5,-1
126,1,49,-1,-1,-1,5
1353,1,1276,-1,-1,-1,5
1145,1,1068,-1,-1,-1,5
1155,1,1078,-1,-1,6,-1
357,1,280,-1,-1,6,-1
780,1,703,-1,-1,6,-1
1464,1,1387,-1,-1,-1,6
1466,1,1389,-1,-1,6,-1
475,1,398,-1,-1,6,-1
989,1,912,-1,-1,6,-1
524,1,447,-1,-1,6,-1
895,1,818,-1,-1,-1,6
1603,2,1514,-1,-1,6,-1
375,1,298,-1,-1,6,-1
1258,1,1181,-1,-1,-1,7
172,1,95,-1,-1,-1,7
1207,1,1130,-1,-1,-1,7
685,1,608,-1,-1,7,-1
794,1,717,-1,-1,-1,7
839,1,762,-1,-1,-1,7
1017,1,940,-1,-1,-1,7
1344,1,1267,-1,-1,-1,7
117,1,40,-1,-1,7,-1
146,1,69,-1,-1,7,-1
289,1,212,-1,-1,7,-1
995,1,918,-1,-1,7,-1
1597,1,1514,-1,-1,7,-1
292,1,215,-1,-1,-1,8
1393,1,1316,-1,-1,-1,8
1262,1,1185,-1,-1,-1,8
400,1,323,-1,-1,8,-1
683,1,606,-1,-1,8,-1
1156,1,1079,-1,-1,8,-1
125,1,48,-1,-1,-1,8
901,1,824,-1,-1,8,-1
398,1,321,-1,-1,9,-1
1657,6,1514,-1,-1,9,-1
1440,1,1363,-1,-1,9,-1
496,1,419,-1,-1,-1,9
216,1,139,-1,-1,-1,9
1053,1,976,-1,-1,-1,9
1617,3,1514,-1,-1,-1,9
658,1,581,-1,-1,-1,9
556,1,479,-1,-1,-1,9
1525,1,1448,-1,-1,9,-1
1390,1,1313,-1,-1,9,-1
1459,1,1382,-1,-1,9,-1
98,1,21,-1,-1,9,-1
918,1,841,-1,-1,9,-1
1500,1,1423,-1,-1,9,-1
580,1,503,-1,-1,-1,9
581,1,504,-1,-1,9,-1
553,1,476,-1,-1,10,-1
444,1,367,-1,-1,-1,10
788,1,711,-1,-1,-1,10
789,1,712,-1,-1,-1,10
333,1,256,-1,-1,-1,10
1593,1,1514,-1,-1,10,-1
1291,1,1214,-1,-1,10,-1
1193,1,1116,-1,-1,-1,10
891,1,814,-1,-1,-1,10
428,1,351,-1,-1,-1,10
906,1,829,-1,-1,10,-1
1133,1,1056,-1,-1,10,-1
201,1,124,-1,-1,10,-1
1310,1,1233,-1,-1,10,-1
915,1,838,-1,-1,10,-1
1095,1,1018,-1,-1,11,-1
947,1,870,-1,-1,11,-1
1127,1,1050,-1,-1,-1,11
431,1,354,-1,-1,-1,11
1666,7,1514,-1,-1,11,-1
571,1,494,-1,-1,11,-1
1411,1,1334,-1,-1,11,-1
697,1,620,-1,-1,11,-1
851,1,774,-1,-1,-1,12
586,1,509,-1,-1,12,-1
476,1,399,-1,-1,12,-1
559,1,482,-1,-1,12,-1
836,1,759,-1,-1,12,-1
1072,1,995,-1,-1,12,-1
328,1,251,-1,-1,12,-1
1119,1,1042,-1,-1,-1,12
911,1,834,-1,-1,-1,12
503,1,426,-1,-1,12,-1
478,1,401,-1,-1,12,-1
963,1,886,-1,-1,13,-1
1322,1,1245,-1,-1,-1,13
1203,1,1126,-1,-1,-1,13
1149,1,1072,-1,-1,13,-1
180,1,103,-1,-1,-1,13
1348,1,1271,-1,-1,-1,13
972,1,895,-1,-1,-1,13
105,1,28,-1,-1,-1,13
1318,1,1241,-1,-1,13,-1
510,1,433,-1,-1,-1,14
1338,1,1261,-1,-1,-1,14
1059,1,982,-1,-1,-1,14
1261,1,1184,-1,-1,-1,14
876,1,799,-1,-1,-1,14
1681,8,1514,-1,-1,-1,14
647,1,570,-1,-1,14,-1
182,1,105,-1,-1,14,-1
1739,13,1514,-1,-1,14,-1
1312,1,1235,-1,-1,14,-1
190,1,113,-1,-1,14,-1
1260,1,1183,-1,-1,14,-1
682,1,605,-1,-1,14,-1
603,1,526,-1,-1,14,-1
1113,1,1036,-1,-1,14,-1
1386,1,1309,-1,-1,14,-1
156,1,79,-1,-1,14,-1
849,1,772,-1,-1,14,-1
487,1,410,-1,-1,15,-1
575,1,498,-1,-1,15,-1
671,1,594,-1,-1,-1,15
1632,4,1514,-1,-1,-1,15
887,1,810,-1,-1,-1,15
1208,1,1131,-1,-1,-1,15
1297,1,1220,-1,-1,15,-1
961,1,884,-1,-1,-1,15
113,1,36,-1,-1,15,-1
1135,1,1058,-1,-1,16,-1
522,1,445,-1,-1,16,-1
1328,1,1251,-1,-1,16,-1
941,1,864,-1,-1,16,-1
1756,14,1514,-1,-1,-1,16
1639,5,1514,-1,-1,-1,16
1349,1,1272,-1,-1,16,-1
192,1,115,-1,-1,16,-1
596,1,519,-1,-1,16,-1
1425,1,1348,-1,-1,16,-1
1735,13,1514,-1,-1,16,-1
261,1,184,-1,-1,16,-1
1607,2,1514,-1,-1,-1,16
590,1,513,-1,-1,-1,16
687,1,610,-1,-1,-1,16
1514,1,1437,-1,-1,-1,16
1683,9,1514,-1,-1,-1,16
860,1,783,-1,-1,-1,16
1204,1,1127,-1,-1,-1,16
1128,1,1051,-1,-1,-1,16
178,1,101,-1,-1,17,-1
751,1,674,-1,-1,17,-1
674,1,597,-1,-1,17,-1
1410,1,1333,-1,-1,17,-1
1210,1,1133,-1,-1,17,-1
1197,1,1120,-1,-1,17,-1
164,1,87,-1,-1,-1,17
971,1,894,-1,-1,-1,17
1031,1,954,-1,-1,-1,17
827,1,750,-1,-1,-1,17
1442,1,1365,-1,-1,-1,17
1282,1,1205,-1,-1,-1,17
340,1,263,-1,-1,-1,17
602,1,525,-1,-1,-1,17
218,1,141,-1,-1,17,-1
362,1,285,-1,-1,17,-1
