id,enter,total_agents,exit_south,exit_east,exit_north,exit_west
56,1,10,-1,-1,1,-1
107,1,61,-1,-1,1,-1
255,1,209,-1,-1,1,-1
450,1,404,-1,-1,1,-1
540,1,494,-1,-1,1,-1
531,1,485,-1,-1,1,-1
525,1,479,-1,-1,2,-1
235,1,189,-1,-1,2,-1
49,1,3,-1,-1,3,-1
148,1,102,-1,-1,3,-1
396,1,350,-1,-1,3,-1
287,1,241,-1,-1,3,-1
337,1,291,-1,-1,4,-1
528,1,482,-1,-1,4,-1
533,1,487,-1,-1,4,-1
398,1,352,-1,-1,4,-1
349,1,303,-1,-1,5,-1
302,1,256,-1,-1,5,-1
405,1,359,-1,-1,5,-1
387,1,341,-1,-1,5,-1
254,1,208,-1,-1,5,-1
154,1,108,-1,-1,5,-1
464,1,418,-1,-1,6,-1
376,1,330,-1,-1,6,-1
275,1,229,-1,-1,6,-1
570,6,501,-1,-1,7,-1
182,1,136,-1,-1,7,-1
551,1,501,-1,-1,7,-1
73,1,27,-1,-1,7,-1
118,1,72,-1,-1,7,-1
457,1,411,-1,-1,7,-1
517,1,471,-1,-1,7,-1
358,1,312,-1,-1,8,-1
242,1,196,-1,-1,8,-1
114,1,68,-1,-1,8,-1
112,1,66,-1,-1,8,-1
248,1,202,-1,-1,9,-1
421,1,375,-1,-1,9,-1
342,1,296,-1,-1,9,-1
272,1,226,-1,-1,9,-1
564,5,501,-1,-1,9,-1
132,1,86,-1,-1,9,-1
131,1,85,-1,-1,10,-1
121,1,75,-1,-1,10,-1
441,1,395,-1,-1,11,-1
95,1,49,-1,-1,11,-1
365,1,319,-1,-1,11,-1
221,1,175,-1,-1,11,-1
136,1,90,-1,-1,11,-1
180,1,134,-1,-1,12,-1
539,1,493,-1,-1,12,-1
228,1,182,-1,-1,12,-1
584,9,501,-1,-1,12,-1
542,1,496,-1,-1,12,-1
372,1,326,-1,-1,12,-1
404,1,358,-1,-1,12,-1
589,10,501,-1,-1,12,-1
84,1,38,-1,-1,12,-1
599,12,501,-1,-1,12,-1
401,1,355,-1,-1,12,-1
604,12,501,-1,-1,13,-1
106,1,60,-1,-1,13,-1
313,1,267,-1,-1,14,-1
567,5,501,-1,-1,14,-1
382,1,336,-1,-1,14,-1
585,9,501,-1,-1,14,-1
529,1,483,-1,-1,14,-1
163,1,117,-1,-1,15,-1
334,1,288,-1,-1,15,-1
461,1,415,-1,-1,15,-1
352,1,306,-1,-1,15,-1
558,3,501,-1,-1,16,-1
155,1,109,-1,-1,16,-1
159,1,113,-1,-1,16,-1
462,1,416,-1,-1,16,-1
380,1,334,-1,-1,16,-1
481,1,435,-1,-1,16,-1
409,1,363,-1,-1,16,-1
232,1,186,-1,-1,16,-1
65,1,19,-1,-1,16,-1
105,1,59,-1,-1,17,-1
330,1,284,-1,-1,17,-1
616,15,501,-1,-1,17,-1
626,16,501,-1,-1,17,-1
177,1,131,-1,-1,18,-1
129,1,83,-1,-1,18,-1
57,1,11,-1,-1,18,-1
343,1,297,-1,-1,18,-1
400,1,354,-1,-1,18,-1
217,1,171,-1,-1,18,-1
556,3,501,-1,-1,19,-1
336,1,290,-1,-1,19,-1
587,9,501,-1,-1,19,-1
490,1,444,-1,-1,19,-1
498,1,452,-1,-1,20,-1
588,9,501,-1,-1,20,-1
134,1,88,-1,-1,20,-1
560,4,501,-1,-1,20,-1
473,1,427,-1,-1,20,-1
108,1,62,-1,-1,20,-1
638,19,501,-1,-1,21,-1
485,1,439,-1,-1,21,-1
201,1,155,-1,-1,22,-1
68,1,22,-1,-1,22,-1
203,1,157,-1,-1,22,-1
468,1,422,-1,-1,22,-1
479,1,433,-1,-1,22,-1
497,1,451,-1,-1,22,-1
288,1,242,-1,-1,23,-1
431,1,385,-1,-1,23,-1
96,1,50,-1,-1,23,-1
351,1,305,-1,-1,23,-1
390,1,344,-1,-1,23,-1
215,1,169,-1,-1,23,-1
611,14,501,-1,-1,24,-1
579,8,501,-1,-1,24,-1
79,1,33,-1,-1,24,-1
224,1,178,-1,-1,25,-1
211,1,165,-1,-1,25,-1
476,1,430,-1,-1,25,-1
412,1,366,-1,-1,25,-1
597,12,501,-1,-1,26,-1
488,1,442,-1,-1,26,-1
644,20,501,-1,-1,26,-1
658,23,501,-1,-1,26,-1
670,26,501,-1,-1,26,-1
320,1,274,-1,-1,26,-1
133,1,87,-1,-1,26,-1
310,1,264,-1,-1,26,-1
326,1,280,-1,-1,27,-1
229,1,183,-1,-1,27,-1
89,1,43,-1,-1,27,-1
389,1,343,-1,-1,27,-1
295,1,249,-1,-1,27,-1
460,1,414,-1,-1,27,-1
187,1,141,-1,-1,27,-1
347,1,301,-1,-1,27,-1
