id,enter,total_agents,exit_south,exit_east,exit_north,exit_west
212,1,89,-1,-1,-1,1
165,1,42,-1,-1,2,-1
172,1,49,-1,-1,2,-1
156,1,33,-1,-1,3,-1
200,1,77,-1,-1,-1,3
181,1,58,-1,-1,5,-1
217,1,94,-1,-1,5,-1
197,1,74,-1,-1,-1,6
206,1,83,-1,-1,-1,6
125,1,2,-1,-1,8,-1
148,1,25,-1,-1,8,-1
188,1,65,-1,-1,9,-1
159,1,36,-1,-1,9,-1
227,6,96,-1,-1,-1,10
231,9,96,-1,-1,-1,12
170,1,47,-1,-1,-1,13
186,1,63,-1,-1,-1,13
221,2,96,-1,-1,14,-1
153,1,30,-1,-1,-1,14
225,5,96,-1,-1,15,-1
132,1,9,-1,-1,-1,16
146,1,23,-1,-1,17,-1
184,1,61,-1,-1,-1,18
158,1,35,-1,-1,-1,18
162,1,39,-1,-1,19,-1
190,1,67,-1,-1,-1,20
138,1,15,-1,-1,21,-1
124,1,1,-1,-1,21,-1
136,1,13,-1,-1,21,-1
176,1,53,-1,-1,21,-1
144,1,21,-1,-1,22,-1
182,1,59,-1,-1,-1,22
174,1,51,-1,-1,23,-1
235,13,96,-1,-1,-1,23
229,8,96,-1,-1,-1,24
129,1,6,-1,-1,24,-1
207,1,84,-1,-1,-1,24
127,1,4,-1,-1,24,-1
204,1,81,-1,-1,24,-1
209,1,86,-1,-1,24,-1
150,1,27,-1,-1,25,-1
232,10,96,-1,-1,25,-1
187,1,64,-1,-1,26,-1
224,5,96,-1,-1,-1,27
141,1,18,-1,-1,-1,27
253,24,96,-1,-1,27,-1
251,23,96,-1,-1,27,-1
145,1,22,-1,-1,27,-1
134,1,11,-1,-1,27,-1
183,1,60,-1,-1,28,-1
211,1,88,-1,-1,29,-1
191,1,68,-1,-1,30,-1
269,29,96,-1,-1,30,-1
255,24,96,-1,-1,31,-1
169,1,46,-1,-1,31,-1
151,1,28,-1,-1,-1,31
167,1,44,-1,-1,32,-1
254,24,96,-1,-1,32,-1
262,27,96,-1,-1,32,-1
245,21,96,-1,-1,32,-1
238,15,96,-1,-1,-1,33
219,1,96,-1,-1,-1,33
222,3,96,-1,-1,-1,34
140,1,17,-1,-1,-1,36
210,1,87,-1,-1,36,-1
249,22,96,-1,-1,36,-1
139,1,16,-1,-1,-1,37
126,1,3,-1,-1,37,-1
133,1,10,-1,-1,37,-1
272,31,96,-1,-1,38,-1
161,1,38,-1,-1,-1,39
171,1,48,-1,-1,40,-1
155,1,32,-1,-1,40,-1
157,1,34,-1,-1,-1,40
178,1,55,-1,-1,-1,40
214,1,91,-1,-1,-1,40
208,1,85,-1,-1,41,-1
250,22,96,-1,-1,-1,42
277,32,96,-1,-1,-1,42
274,31,96,-1,-1,42,-1
198,1,75,-1,-1,43,-1
228,8,96,-1,-1,-1,44
152,1,29,-1,-1,-1,44
259,25,96,-1,-1,-1,44
216,1,93,-1,-1,46,-1
298,42,96,-1,-1,-1,46
282,36,96,-1,-1,-1,47
265,27,96,-1,-1,47,-1
257,24,96,-1,-1,47,-1
281,34,96,-1,-1,-1,47
234,13,96,-1,-1,47,-1
291,40,96,-1,-1,-1,48
233,12,96,-1,-1,49,-1
196,1,73,-1,-1,51,-1
177,1,54,-1,-1,51,-1
179,1,56,-1,-1,-1,51
154,1,31,-1,-1,51,-1
189,1,66,-1,-1,52,-1
135,1,12,-1,-1,-1,52
220,2,96,-1,-1,52,-1
263,27,96,-1,-1,53,-1
213,1,90,-1,-1,53,-1
128,1,5,-1,-1,-1,53
318,52,96,-1,-1,-1,53
201,1,78,-1,-1,53,-1
284,36,96,-1,-1,53,-1
313,51,96,-1,-1,54,-1
160,1,37,-1,-1,54,-1
237,14,96,-1,-1,54,-1
194,1,71,-1,-1,54,-1
230,9,96,-1,-1,-1,56
137,1,14,-1,-1,56,-1
131,1,8,-1,-1,-1,58
149,1,26,-1,-1,-1,59
218,1,95,-1,-1,-1,59
215,1,92,-1,-1,59,-1
323,53,96,-1,-1,-1,60
246,21,96,-1,-1,-1,60
143,1,20,-1,-1,60,-1
270,30,96,-1,-1,60,-1
130,1,7,-1,-1,61,-1
173,1,50,-1,-1,-1,61
308,47,96,-1,-1,-1,62
240,17,96,-1,-1,-1,62
203,1,80,-1,-1,-1,62
306,47,96,-1,-1,-1,62
239,16,96,-1,-1,63,-1
236,14,96,-1,-1,-1,63
168,1,45,-1,-1,-1,63
195,1,72,-1,-1,-1,63
202,1,79,-1,-1,-1,64
300,44,96,-1,-1,64,-1
286,37,96,-1,-1,65,-1
301,44,96,-1,-1,-1,66
335,60,96,-1,-1,-1,66
288,38,96,-1,-1,-1,66
266,27,96,-1,-1,67,-1
264,27,96,-1,-1,69,-1
244,20,96,-1,-1,-1,69
321,53,96,-1,-1,-1,69
260,25,96,-1,-1,70,-1
192,1,69,-1,-1,70,-1
312,51,96,-1,-1,-1,71
285,37,96,-1,-1,-1,71
290,40,96,-1,-1,73,-1
315,51,96,-1,-1,-1,73
314,51,96,-1,-1,-1,74
205,1,82,-1,-1,-1,75
303,46,96,-1,-1,-1,75
337,60,96,-1,-1,76,-1
258,24,96,-1,-1,-1,76
295,41,96,-1,-1,-1,76
326,54,96,-1,-1,77,-1
299,43,96,-1,-1,77,-1
340,61,96,-1,-1,-1,77
305,47,96,-1,-1,78,-1
223,3,96,-1,-1,78,-1
330,56,96,-1,-1,-1,79
261,26,96,-1,-1,-1,79
193,1,70,-1,-1,-1,80
292,40,96,-1,-1,-1,80
376,79,96,-1,-1,80,-1
293,40,96,-1,-1,80,-1
362,71,96,-1,-1,-1,80
346,63,96,-1,-1,80,-1
273,31,96,-1,-1,81,-1
319,53,96,-1,-1,81,-1
316,52,96,-1,-1,-1,82
242,18,96,-1,-1,-1,82
358,69,96,-1,-1,82,-1
226,6,96,-1,-1,83,-1
302,44,96,-1,-1,83,-1
289,39,96,-1,-1,-1,83
324,53,96,-1,-1,83,-1
357,69,96,-1,-1,84,-1
383,80,96,-1,-1,-1,85
351,65,96,-1,-1,85,-1
164,1,41,-1,-1,-1,85
349,64,96,-1,-1,-1,86
356,69,96,-1,-1,-1,86
311,49,96,-1,-1,86,-1
329,56,96,-1,-1,-1,86
142,1,19,-1,-1,86,-1
380,80,96,-1,-1,86,-1
334,59,96,-1,-1,87,-1
294,40,96,-1,-1,-1,87
377,79,96,-1,-1,87,-1
382,80,96,-1,-1,88,-1
163,1,40,-1,-1,88,-1
297,42,96,-1,-1,89,-1
275,32,96,-1,-1,89,-1
352,66,96,-1,-1,89,-1
400,86,96,-1,-1,89,-1
185,1,62,-1,-1,90,-1
409,89,96,-1,-1,-1,90
392,83,96,-1,-1,-1,90
175,1,52,-1,-1,-1,90
333,59,96,-1,-1,91,-1
353,66,96,-1,-1,92,-1
386,82,96,-1,-1,-1,92
147,1,24,-1,-1,92,-1
276,32,96,-1,-1,-1,92
415,90,96,-1,-1,94,-1
416,91,96,-1,-1,94,-1
267,27,96,-1,-1,94,-1
256,24,96,-1,-1,-1,95
271,30,96,-1,-1,95,-1
422,94,96,-1,-1,-1,96
390,83,96,-1,-1,96,-1
410,89,96,-1,-1,97,-1
369,76,96,-1,-1,97,-1
343,62,96,-1,-1,97,-1
373,77,96,-1,-1,-1,97
336,60,96,-1,-1,-1,97
279,33,96,-1,-1,-1,97
252,23,96,-1,-1,97,-1
304,46,96,-1,-1,98,-1
199,1,76,-1,-1,-1,99
365,74,96,-1,-1,-1,99
385,81,96,-1,-1,99,-1
287,37,96,-1,-1,100,-1
432,97,96,-1,-1,100,-1
241,18,96,-1,-1,100,-1
310,48,96,-1,-1,-1,101
399,86,96,-1,-1,101,-1
322,53,96,-1,-1,101,-1
378,80,96,-1,-1,-1,102
439,100,96,-1,-1,-1,102
388,82,96,-1,-1,102,-1
406,88,96,-1,-1,102,-1
339,61,96,-1,-1,102,-1
307,47,96,-1,-1,104,-1
248,21,96,-1,-1,-1,105
449,102,96,-1,-1,-1,105
420,92,96,-1,-1,105,-1
414,90,96,-1,-1,106,-1
347,63,96,-1,-1,106,-1
429,97,96,-1,-1,-1,106
397,86,96,-1,-1,107,-1
345,63,96,-1,-1,-1,108
381,80,96,-1,-1,108,-1
268,28,96,-1,-1,108,-1
402,86,96,-1,-1,-1,109
344,62,96,-1,-1,-1,109
166,1,43,-1,-1,-1,109
374,78,96,-1,-1,109,-1
457,107,96,-1,-1,-1,110
370,76,96,-1,-1,-1,111
465,110,96,-1,-1,-1,111
364,73,96,-1,-1,-1,112
434,97,96,-1,-1,112,-1
317,52,96,-1,-1,112,-1
341,62,96,-1,-1,113,-1
398,86,96,-1,-1,114,-1
355,67,96,-1,-1,-1,114
359,70,96,-1,-1,117,-1
393,84,96,-1,-1,117,-1
280,33,96,-1,-1,-1,117
427,96,96,-1,-1,117,-1
421,94,96,-1,-1,-1,118
456,106,96,-1,-1,119,-1
464,109,96,-1,-1,-1,119
325,54,96,-1,-1,119,-1
446,102,96,-1,-1,119,-1
468,112,96,-1,-1,-1,119
423,94,96,-1,-1,-1,119
247,21,96,-1,-1,119,-1
463,109,96,-1,-1,119,-1
331,58,96,-1,-1,120,-1
391,83,96,-1,-1,121,-1
367,75,96,-1,-1,-1,121
440,100,96,-1,-1,121,-1
417,92,96,-1,-1,-1,122
243,19,96,-1,-1,-1,123
424,95,96,-1,-1,-1,123
363,73,96,-1,-1,-1,123
368,76,96,-1,-1,-1,123
494,123,96,-1,-1,123,-1
455,106,96,-1,-1,-1,124
332,59,96,-1,-1,-1,124
490,121,96,-1,-1,125,-1
491,122,96,-1,-1,-1,125
428,97,96,-1,-1,126,-1
489,121,96,-1,-1,-1,126
320,53,96,-1,-1,-1,126
379,80,96,-1,-1,-1,127
462,109,96,-1,-1,127,-1
180,1,57,-1,-1,-1,127
411,89,96,-1,-1,128,-1
283,36,96,-1,-1,128,-1
442,101,96,-1,-1,-1,129
387,82,96,-1,-1,129,-1
309,47,96,-1,-1,-1,129
437,99,96,-1,-1,-1,130
459,108,96,-1,-1,-1,130
327,54,96,-1,-1,-1,130
371,77,96,-1,-1,130,-1
384,81,96,-1,-1,130,-1
348,63,96,-1,-1,130,-1
451,105,96,-1,-1,130,-1
511,129,96,-1,-1,-1,131
360,70,96,-1,-1,-1,131
278,32,96,-1,-1,131,-1
478,118,96,-1,-1,132,-1
507,128,96,-1,-1,132,-1
350,64,96,-1,-1,132,-1
488,121,96,-1,-1,-1,132
458,108,96,-1,-1,-1,132
444,101,96,-1,-1,-1,133
354,66,96,-1,-1,133,-1
496,123,96,-1,-1,-1,135
471,113,96,-1,-1,136,-1
395,85,96,-1,-1,136,-1
516,130,96,-1,-1,-1,136
430,97,96,-1,-1,-1,136
466,111,96,-1,-1,136,-1
405,87,96,-1,-1,136,-1
527,133,96,-1,-1,-1,138
475,117,96,-1,-1,-1,139
493,123,96,-1,-1,139,-1
508,128,96,-1,-1,139,-1
401,86,96,-1,-1,139,-1
296,42,96,-1,-1,140,-1
404,87,96,-1,-1,140,-1
443,101,96,-1,-1,141,-1
433,97,96,-1,-1,142,-1
394,85,96,-1,-1,-1,142
542,140,96,-1,-1,142,-1
461,109,96,-1,-1,-1,144
431,97,96,-1,-1,144,-1
476,117,96,-1,-1,144,-1
441,100,96,-1,-1,146,-1
534,136,96,-1,-1,147,-1
532,136,96,-1,-1,-1,148
549,144,96,-1,-1,-1,148
328,54,96,-1,-1,148,-1
505,127,96,-1,-1,-1,148
518,130,96,-1,-1,-1,148
522,132,96,-1,-1,148,-1
481,119,96,-1,-1,148,-1
438,99,96,-1,-1,148,-1
510,129,96,-1,-1,-1,150
474,117,96,-1,-1,150,-1
525,132,96,-1,-1,150,-1
408,89,96,-1,-1,150,-1
450,104,96,-1,-1,-1,150
419,92,96,-1,-1,151,-1
389,83,96,-1,-1,151,-1
453,105,96,-1,-1,151,-1
436,99,96,-1,-1,-1,151
452,105,96,-1,-1,-1,152
553,148,96,-1,-1,152,-1
407,88,96,-1,-1,152,-1
479,119,96,-1,-1,153,-1
448,102,96,-1,-1,-1,153
366,75,96,-1,-1,-1,154
469,112,96,-1,-1,-1,155
535,136,96,-1,-1,-1,155
413,90,96,-1,-1,155,-1
530,136,96,-1,-1,156,-1
545,142,96,-1,-1,156,-1
506,127,96,-1,-1,156,-1
470,112,96,-1,-1,157,-1
477,117,96,-1,-1,157,-1
502,126,96,-1,-1,157,-1
487,120,96,-1,-1,-1,158
396,85,96,-1,-1,-1,159
418,92,96,-1,-1,-1,159
531,136,96,-1,-1,159,-1
538,139,96,-1,-1,-1,160
445,102,96,-1,-1,-1,161
486,119,96,-1,-1,162,-1
513,130,96,-1,-1,162,-1
591,162,96,-1,-1,162,-1
338,60,96,-1,-1,163,-1
500,125,96,-1,-1,163,-1
512,130,96,-1,-1,163,-1
517,130,96,-1,-1,163,-1
537,139,96,-1,-1,164,-1
564,150,96,-1,-1,-1,165
509,129,96,-1,-1,-1,165
587,159,96,-1,-1,165,-1
550,146,96,-1,-1,165,-1
412,90,96,-1,-1,-1,166
600,165,96,-1,-1,-1,166
562,150,96,-1,-1,167,-1
560,150,96,-1,-1,167,-1
426,96,96,-1,-1,-1,168
372,77,96,-1,-1,-1,168
497,124,96,-1,-1,-1,168
607,168,96,-1,-1,168,-1
529,135,96,-1,-1,168,-1
447,102,96,-1,-1,170,-1
548,144,96,-1,-1,-1,172
533,136,96,-1,-1,-1,172
361,71,96,-1,-1,172,-1
590,162,96,-1,-1,173,-1
567,151,96,-1,-1,-1,173
539,139,96,-1,-1,173,-1
536,138,96,-1,-1,-1,174
566,151,96,-1,-1,174,-1
609,168,96,-1,-1,174,-1
544,142,96,-1,-1,-1,176
563,150,96,-1,-1,176,-1
504,127,96,-1,-1,176,-1
546,142,96,-1,-1,-1,176
556,148,96,-1,-1,-1,177
526,132,96,-1,-1,178,-1
577,155,96,-1,-1,-1,178
543,141,96,-1,-1,178,-1
503,126,96,-1,-1,178,-1
596,163,96,-1,-1,179,-1
375,78,96,-1,-1,-1,179
551,147,96,-1,-1,-1,180
582,157,96,-1,-1,-1,180
565,151,96,-1,-1,180,-1
552,148,96,-1,-1,180,-1
547,144,96,-1,-1,181,-1
557,148,96,-1,-1,182,-1
514,130,96,-1,-1,182,-1
592,162,96,-1,-1,-1,182
631,179,96,-1,-1,-1,183
480,119,96,-1,-1,183,-1
612,172,96,-1,-1,184,-1
540,139,96,-1,-1,184,-1
604,167,96,-1,-1,184,-1
519,131,96,-1,-1,184,-1
403,87,96,-1,-1,184,-1
425,95,96,-1,-1,184,-1
495,123,96,-1,-1,184,-1
643,184,96,-1,-1,184,-1
625,177,96,-1,-1,-1,184
454,106,96,-1,-1,-1,185
570,152,96,-1,-1,-1,185
498,124,96,-1,-1,186,-1
571,152,96,-1,-1,-1,186
641,183,96,-1,-1,187,-1
593,163,96,-1,-1,189,-1
515,130,96,-1,-1,190,-1
499,125,96,-1,-1,190,-1
583,157,96,-1,-1,-1,190
568,151,96,-1,-1,191,-1
597,164,96,-1,-1,-1,191
460,108,96,-1,-1,191,-1
627,178,96,-1,-1,191,-1
614,172,96,-1,-1,192,-1
661,191,96,-1,-1,-1,193
573,153,96,-1,-1,-1,194
598,165,96,-1,-1,194,-1
645,184,96,-1,-1,194,-1
651,185,96,-1,-1,-1,195
632,180,96,-1,-1,195,-1
342,62,96,-1,-1,-1,196
473,114,96,-1,-1,197,-1
613,172,96,-1,-1,-1,197
626,178,96,-1,-1,197,-1
595,163,96,-1,-1,197,-1
574,154,96,-1,-1,198,-1
561,150,96,-1,-1,198,-1
606,168,96,-1,-1,-1,198
594,163,96,-1,-1,-1,198
435,98,96,-1,-1,-1,198
628,178,96,-1,-1,198,-1
569,152,96,-1,-1,199,-1
655,187,96,-1,-1,-1,199
652,185,96,-1,-1,200,-1
681,198,96,-1,-1,200,-1
648,184,96,-1,-1,-1,200
603,166,96,-1,-1,-1,200
575,155,96,-1,-1,-1,200
586,159,96,-1,-1,-1,201
578,156,96,-1,-1,-1,201
584,158,96,-1,-1,-1,201
588,160,96,-1,-1,202,-1
665,193,96,-1,-1,-1,202
633,180,96,-1,-1,202,-1
629,178,96,-1,-1,202,-1
484,119,96,-1,-1,-1,203
492,123,96,-1,-1,-1,203
646,184,96,-1,-1,-1,204
483,119,96,-1,-1,-1,204
666,194,96,-1,-1,204,-1
559,148,96,-1,-1,-1,205
650,184,96,-1,-1,205,-1
653,186,96,-1,-1,206,-1
676,198,96,-1,-1,-1,206
701,205,96,-1,-1,206,-1
679,198,96,-1,-1,206,-1
589,161,96,-1,-1,207,-1
572,153,96,-1,-1,-1,208
520,131,96,-1,-1,208,-1
602,166,96,-1,-1,210,-1
658,190,96,-1,-1,210,-1
541,140,96,-1,-1,-1,211
501,126,96,-1,-1,212,-1
467,111,96,-1,-1,212,-1
605,167,96,-1,-1,212,-1
683,199,96,-1,-1,214,-1
675,197,96,-1,-1,214,-1
523,132,96,-1,-1,-1,214
664,192,96,-1,-1,-1,215
585,159,96,-1,-1,215,-1
637,182,96,-1,-1,-1,215
485,119,96,-1,-1,215,-1
702,205,96,-1,-1,216,-1
621,176,96,-1,-1,216,-1
558,148,96,-1,-1,-1,217
716,214,96,-1,-1,-1,217
660,191,96,-1,-1,217,-1
644,184,96,-1,-1,217,-1
576,155,96,-1,-1,218,-1
659,190,96,-1,-1,-1,218
642,184,96,-1,-1,-1,218
528,133,96,-1,-1,219,-1
599,165,96,-1,-1,219,-1
