id,enter,total_agents,exit_south,exit_east,exit_north,exit_west
297,1,174,-1,-1,-1,1
341,1,218,-1,-1,-1,1
188,1,65,-1,-1,1,-1
232,1,109,-1,-1,1,-1
323,1,200,-1,-1,1,-1
401,1,278,-1,-1,-1,1
272,1,149,-1,-1,-1,1
158,1,35,-1,-1,-1,1
520,1,397,-1,-1,1,-1
261,1,138,-1,-1,-1,2
331,1,208,-1,-1,2,-1
217,1,94,-1,-1,2,-1
422,1,299,-1,-1,-1,2
394,1,271,-1,-1,2,-1
435,1,312,-1,-1,2,-1
354,1,231,-1,-1,3,-1
316,1,193,-1,-1,3,-1
361,1,238,-1,-1,-1,3
360,1,237,-1,-1,-1,3
558,1,435,-1,-1,-1,3
283,1,160,-1,-1,3,-1
300,1,177,-1,-1,3,-1
398,1,275,-1,-1,-1,4
597,1,474,-1,-1,4,-1
181,1,58,-1,-1,4,-1
617,2,480,-1,-1,-1,4
619,3,480,-1,-1,-1,4
525,1,402,-1,-1,4,-1
426,1,303,-1,-1,5,-1
294,1,171,-1,-1,5,-1
206,1,83,-1,-1,-1,5
159,1,36,-1,-1,5,-1
280,1,157,-1,-1,-1,5
359,1,236,-1,-1,-1,6
402,1,279,-1,-1,6,-1
409,1,286,-1,-1,6,-1
197,1,74,-1,-1,-1,6
535,1,412,-1,-1,6,-1
386,1,263,-1,-1,-1,7
500,1,377,-1,-1,7,-1
408,1,285,-1,-1,7,-1
321,1,198,-1,-1,7,-1
515,1,392,-1,-1,7,-1
462,1,339,-1,-1,7,-1
416,1,293,-1,-1,9,-1
227,1,104,-1,-1,9,-1
588,1,465,-1,-1,9,-1
172,1,49,-1,-1,9,-1
186,1,63,-1,-1,-1,9
290,1,167,-1,-1,9,-1
380,1,257,-1,-1,9,-1
545,1,422,-1,-1,9,-1
156,1,33,-1,-1,9,-1
618,3,480,-1,-1,10,-1
253,1,130,-1,-1,10,-1
543,1,420,-1,-1,10,-1
569,1,446,-1,-1,11,-1
397,1,274,-1,-1,11,-1
406,1,283,-1,-1,-1,11
572,1,449,-1,-1,-1,11
563,1,440,-1,-1,11,-1
243,1,120,-1,-1,11,-1
235,1,112,-1,-1,11,-1
382,1,259,-1,-1,-1,12
593,1,470,-1,-1,12,-1
376,1,253,-1,-1,12,-1
472,1,349,-1,-1,12,-1
463,1,340,-1,-1,12,-1
605,1,480,-1,-1,12,-1
464,1,341,-1,-1,12,-1
434,1,311,-1,-1,-1,13
182,1,59,-1,-1,-1,13
144,1,21,-1,-1,13,-1
551,1,428,-1,-1,13,-1
317,1,194,-1,-1,13,-1
358,1,235,-1,-1,13,-1
634,5,480,-1,-1,13,-1
296,1,173,-1,-1,13,-1
274,1,151,-1,-1,13,-1
559,1,436,-1,-1,13,-1
230,1,107,-1,-1,13,-1
363,1,240,-1,-1,14,-1
658,10,480,-1,-1,14,-1
384,1,261,-1,-1,14,-1
220,1,97,-1,-1,-1,14
565,1,442,-1,-1,14,-1
585,1,462,-1,-1,14,-1
506,1,383,-1,-1,14,-1
392,1,269,-1,-1,14,-1
231,1,108,-1,-1,-1,14
483,1,360,-1,-1,-1,15
570,1,447,-1,-1,15,-1
148,1,25,-1,-1,15,-1
143,1,20,-1,-1,15,-1
146,1,23,-1,-1,15,-1
212,1,89,-1,-1,-1,15
368,1,245,-1,-1,-1,15
244,1,121,-1,-1,-1,16
200,1,77,-1,-1,-1,16
481,1,358,-1,-1,-1,16
333,1,210,-1,-1,16,-1
516,1,393,-1,-1,16,-1
370,1,247,-1,-1,16,-1
351,1,228,-1,-1,16,-1
499,1,376,-1,-1,-1,16
242,1,119,-1,-1,-1,16
613,2,480,-1,-1,16,-1
705,16,480,-1,-1,17,-1
383,1,260,-1,-1,17,-1
443,1,320,-1,-1,-1,17
277,1,154,-1,-1,-1,17
415,1,292,-1,-1,17,-1
582,1,459,-1,-1,17,-1
151,1,28,-1,-1,-1,17
209,1,86,-1,-1,17,-1
405,1,282,-1,-1,17,-1
395,1,272,-1,-1,18,-1
356,1,233,-1,-1,-1,18
340,1,217,-1,-1,-1,18
352,1,229,-1,-1,-1,18
688,14,480,-1,-1,-1,18
514,1,391,-1,-1,-1,18
245,1,122,-1,-1,-1,18
433,1,310,-1,-1,18,-1
236,1,113,-1,-1,18,-1
594,1,471,-1,-1,18,-1
391,1,268,-1,-1,18,-1
136,1,13,-1,-1,18,-1
342,1,219,-1,-1,18,-1
319,1,196,-1,-1,19,-1
162,1,39,-1,-1,19,-1
275,1,152,-1,-1,19,-1
226,1,103,-1,-1,-1,19
568,1,445,-1,-1,19,-1
606,1,480,-1,-1,19,-1
491,1,368,-1,-1,19,-1
645,7,480,-1,-1,-1,19
328,1,205,-1,-1,19,-1
170,1,47,-1,-1,-1,20
556,1,433,-1,-1,-1,20
704,16,480,-1,-1,-1,20
347,1,224,-1,-1,-1,20
550,1,427,-1,-1,-1,20
424,1,301,-1,-1,-1,20
299,1,176,-1,-1,-1,20
190,1,67,-1,-1,-1,20
509,1,386,-1,-1,-1,20
169,1,46,-1,-1,20,-1
710,17,480,-1,-1,20,-1
318,1,195,-1,-1,20,-1
511,1,388,-1,-1,20,-1
301,1,178,-1,-1,20,-1
221,1,98,-1,-1,20,-1
267,1,144,-1,-1,20,-1
615,2,480,-1,-1,20,-1
706,16,480,-1,-1,20,-1
229,1,106,-1,-1,20,-1
381,1,258,-1,-1,21,-1
601,1,478,-1,-1,21,-1
616,2,480,-1,-1,21,-1
187,1,64,-1,-1,21,-1
742,20,480,-1,-1,21,-1
165,1,42,-1,-1,21,-1
549,1,426,-1,-1,21,-1
512,1,389,-1,-1,22,-1
365,1,242,-1,-1,22,-1
127,1,4,-1,-1,22,-1
145,1,22,-1,-1,22,-1
620,3,480,-1,-1,22,-1
129,1,6,-1,-1,22,-1
256,1,133,-1,-1,-1,22
132,1,9,-1,-1,-1,22
152,1,29,-1,-1,-1,22
336,1,213,-1,-1,22,-1
150,1,27,-1,-1,22,-1
233,1,110,-1,-1,22,-1
536,1,413,-1,-1,22,-1
225,1,102,-1,-1,22,-1
445,1,322,-1,-1,-1,22
770,22,480,-1,-1,-1,23
438,1,315,-1,-1,23,-1
660,11,480,-1,-1,23,-1
263,1,140,-1,-1,23,-1
612,2,480,-1,-1,-1,24
767,22,480,-1,-1,-1,24
694,15,480,-1,-1,24,-1
312,1,189,-1,-1,24,-1
430,1,307,-1,-1,24,-1
393,1,270,-1,-1,24,-1
167,1,44,-1,-1,24,-1
125,1,2,-1,-1,25,-1
403,1,280,-1,-1,-1,25
204,1,81,-1,-1,25,-1
330,1,207,-1,-1,25,-1
270,1,147,-1,-1,25,-1
574,1,451,-1,-1,-1,25
759,20,480,-1,-1,-1,25
308,1,185,-1,-1,25,-1
752,20,480,-1,-1,25,-1
757,20,480,-1,-1,26,-1
310,1,187,-1,-1,26,-1
600,1,477,-1,-1,26,-1
576,1,453,-1,-1,26,-1
269,1,146,-1,-1,26,-1
138,1,15,-1,-1,26,-1
716,17,480,-1,-1,26,-1
327,1,204,-1,-1,-1,26
141,1,18,-1,-1,-1,26
504,1,381,-1,-1,-1,26
581,1,458,-1,-1,-1,26
743,20,480,-1,-1,-1,26
450,1,327,-1,-1,27,-1
207,1,84,-1,-1,-1,27
252,1,129,-1,-1,-1,27
791,24,480,-1,-1,27,-1
577,1,454,-1,-1,27,-1
662,11,480,-1,-1,27,-1
442,1,319,-1,-1,27,-1
584,1,461,-1,-1,28,-1
571,1,448,-1,-1,-1,28
575,1,452,-1,-1,-1,28
700,16,480,-1,-1,28,-1
454,1,331,-1,-1,-1,28
614,2,480,-1,-1,-1,28
667,12,480,-1,-1,-1,28
437,1,314,-1,-1,-1,28
250,1,127,-1,-1,-1,28
251,1,128,-1,-1,29,-1
526,1,403,-1,-1,-1,29
486,1,363,-1,-1,-1,29
644,7,480,-1,-1,29,-1
782,23,480,-1,-1,-1,29
806,26,480,-1,-1,-1,29
344,1,221,-1,-1,-1,29
487,1,364,-1,-1,29,-1
142,1,19,-1,-1,29,-1
184,1,61,-1,-1,-1,30
802,26,480,-1,-1,30,-1
725,18,480,-1,-1,30,-1
478,1,355,-1,-1,30,-1
524,1,401,-1,-1,30,-1
325,1,202,-1,-1,30,-1
564,1,441,-1,-1,30,-1
761,21,480,-1,-1,31,-1
756,20,480,-1,-1,31,-1
178,1,55,-1,-1,-1,31
419,1,296,-1,-1,-1,31
628,4,480,-1,-1,31,-1
279,1,156,-1,-1,31,-1
719,18,480,-1,-1,31,-1
155,1,32,-1,-1,31,-1
248,1,125,-1,-1,-1,32
530,1,407,-1,-1,32,-1
345,1,222,-1,-1,32,-1
687,14,480,-1,-1,33,-1
586,1,463,-1,-1,-1,33
198,1,75,-1,-1,33,-1
264,1,141,-1,-1,33,-1
844,30,480,-1,-1,-1,33
446,1,323,-1,-1,-1,33
353,1,230,-1,-1,-1,33
795,25,480,-1,-1,-1,34
240,1,117,-1,-1,-1,34
607,1,480,-1,-1,-1,34
833,29,480,-1,-1,-1,34
608,1,480,-1,-1,-1,34
790,24,480,-1,-1,-1,34
850,31,480,-1,-1,34,-1
817,27,480,-1,-1,34,-1
211,1,88,-1,-1,34,-1
848,31,480,-1,-1,34,-1
191,1,68,-1,-1,34,-1
841,30,480,-1,-1,34,-1
139,1,16,-1,-1,-1,34
661,11,480,-1,-1,35,-1
552,1,429,-1,-1,35,-1
436,1,313,-1,-1,35,-1
157,1,34,-1,-1,-1,35
641,7,480,-1,-1,-1,35
866,34,480,-1,-1,-1,35
873,34,480,-1,-1,35,-1
631,5,480,-1,-1,35,-1
282,1,159,-1,-1,35,-1
479,1,356,-1,-1,35,-1
257,1,134,-1,-1,35,-1
579,1,456,-1,-1,35,-1
396,1,273,-1,-1,35,-1
183,1,60,-1,-1,36,-1
460,1,337,-1,-1,-1,36
589,1,466,-1,-1,-1,36
490,1,367,-1,-1,-1,36
508,1,385,-1,-1,-1,36
271,1,148,-1,-1,36,-1
865,34,480,-1,-1,-1,36
171,1,48,-1,-1,37,-1
320,1,197,-1,-1,-1,37
851,31,480,-1,-1,-1,37
650,9,480,-1,-1,-1,37
854,32,480,-1,-1,37,-1
698,15,480,-1,-1,37,-1
160,1,37,-1,-1,37,-1
744,20,480,-1,-1,37,-1
295,1,172,-1,-1,-1,38
440,1,317,-1,-1,-1,38
807,26,480,-1,-1,38,-1
388,1,265,-1,-1,-1,38
604,1,480,-1,-1,-1,38
153,1,30,-1,-1,-1,38
721,18,480,-1,-1,38,-1
470,1,347,-1,-1,38,-1
656,10,480,-1,-1,38,-1
686,14,480,-1,-1,39,-1
693,15,480,-1,-1,39,-1
306,1,183,-1,-1,-1,39
476,1,353,-1,-1,-1,39
769,22,480,-1,-1,-1,40
375,1,252,-1,-1,-1,40
